id,text,label,timestamp
0,Breaking: new study claims coffee cures colds,1,2025-08-15 04:17:43.616070
1,Rumor circulating about celebrity incident,1,2025-08-15 04:18:43.616070
2,Rumor circulating about celebrity incident,1,2025-08-15 04:19:43.616070
3,Satire piece about tech CEO,0,2025-08-15 04:20:43.616070
4,Satire piece about tech CEO,0,2025-08-15 04:21:43.616070
5,Analysis: election turnout data,1,2025-08-15 04:22:43.616070
6,Breaking: new study claims coffee cures colds,0,2025-08-15 04:23:43.616070
7,Rumor circulating about celebrity incident,1,2025-08-15 04:24:43.616070
8,Official update: vaccination schedule released,0,2025-08-15 04:25:43.616070
9,Breaking: new study claims coffee cures colds,0,2025-08-15 04:26:43.616070
10,Satire piece about tech CEO,0,2025-08-15 04:27:43.616070
11,Analysis: election turnout data,1,2025-08-15 04:28:43.616070
12,Rumor circulating about celebrity incident,0,2025-08-15 04:29:43.616070
13,Rumor circulating about celebrity incident,0,2025-08-15 04:30:43.616070
14,Rumor circulating about celebrity incident,0,2025-08-15 04:31:43.616070
15,Rumor circulating about celebrity incident,0,2025-08-15 04:32:43.616070
16,Satire piece about tech CEO,0,2025-08-15 04:33:43.616070
17,Breaking: new study claims coffee cures colds,1,2025-08-15 04:34:43.616070
18,Analysis: election turnout data,0,2025-08-15 04:35:43.616070
19,Satire piece about tech CEO,1,2025-08-15 04:36:43.616070
20,Satire piece about tech CEO,1,2025-08-15 04:37:43.616070
21,Official update: vaccination schedule released,0,2025-08-15 04:38:43.616070
22,Breaking: new study claims coffee cures colds,0,2025-08-15 04:39:43.616070
23,Analysis: election turnout data,1,2025-08-15 04:40:43.616070
24,Rumor circulating about celebrity incident,0,2025-08-15 04:41:43.616070
25,Rumor circulating about celebrity incident,0,2025-08-15 04:42:43.616070
26,Satire piece about tech CEO,1,2025-08-15 04:43:43.616070
27,Analysis: election turnout data,1,2025-08-15 04:44:43.616070
28,Satire piece about tech CEO,1,2025-08-15 04:45:43.616070
29,Satire piece about tech CEO,0,2025-08-15 04:46:43.616070
30,Satire piece about tech CEO,1,2025-08-15 04:47:43.616070
31,Official update: vaccination schedule released,1,2025-08-15 04:48:43.616070
32,Breaking: new study claims coffee cures colds,0,2025-08-15 04:49:43.616070
33,Satire piece about tech CEO,1,2025-08-15 04:50:43.616070
34,Analysis: election turnout data,0,2025-08-15 04:51:43.616070
35,Breaking: new study claims coffee cures colds,0,2025-08-15 04:52:43.616070
36,Analysis: election turnout data,0,2025-08-15 04:53:43.616070
37,Analysis: election turnout data,0,2025-08-15 04:54:43.616070
38,Official update: vaccination schedule released,0,2025-08-15 04:55:43.616070
39,Rumor circulating about celebrity incident,1,2025-08-15 04:56:43.616070
40,Breaking: new study claims coffee cures colds,1,2025-08-15 04:57:43.616070
41,Rumor circulating about celebrity incident,0,2025-08-15 04:58:43.616070
42,Rumor circulating about celebrity incident,1,2025-08-15 04:59:43.616070
43,Official update: vaccination schedule released,1,2025-08-15 05:00:43.616070
44,Breaking: new study claims coffee cures colds,0,2025-08-15 05:01:43.616070
45,Analysis: election turnout data,0,2025-08-15 05:02:43.616070
46,Satire piece about tech CEO,0,2025-08-15 05:03:43.616070
47,Analysis: election turnout data,0,2025-08-15 05:04:43.616070
48,Rumor circulating about celebrity incident,1,2025-08-15 05:05:43.616070
49,Rumor circulating about celebrity incident,0,2025-08-15 05:06:43.616070
50,Rumor circulating about celebrity incident,0,2025-08-15 05:07:43.616070
51,Breaking: new study claims coffee cures colds,0,2025-08-15 05:08:43.616070
52,Official update: vaccination schedule released,0,2025-08-15 05:09:43.616070
53,Satire piece about tech CEO,1,2025-08-15 05:10:43.616070
54,Satire piece about tech CEO,0,2025-08-15 05:11:43.616070
55,Breaking: new study claims coffee cures colds,0,2025-08-15 05:12:43.616070
56,Satire piece about tech CEO,0,2025-08-15 05:13:43.616070
57,Breaking: new study claims coffee cures colds,0,2025-08-15 05:14:43.616070
58,Rumor circulating about celebrity incident,0,2025-08-15 05:15:43.616070
59,Rumor circulating about celebrity incident,0,2025-08-15 05:16:43.616070
60,Analysis: election turnout data,0,2025-08-15 05:17:43.616070
61,Rumor circulating about celebrity incident,0,2025-08-15 05:18:43.616070
62,Official update: vaccination schedule released,1,2025-08-15 05:19:43.616070
63,Analysis: election turnout data,1,2025-08-15 05:20:43.616070
64,Satire piece about tech CEO,1,2025-08-15 05:21:43.616070
65,Official update: vaccination schedule released,1,2025-08-15 05:22:43.616070
66,Analysis: election turnout data,1,2025-08-15 05:23:43.616070
67,Official update: vaccination schedule released,0,2025-08-15 05:24:43.616070
68,Breaking: new study claims coffee cures colds,0,2025-08-15 05:25:43.616070
69,Satire piece about tech CEO,0,2025-08-15 05:26:43.616070
70,Rumor circulating about celebrity incident,0,2025-08-15 05:27:43.616070
71,Breaking: new study claims coffee cures colds,1,2025-08-15 05:28:43.616070
72,Satire piece about tech CEO,0,2025-08-15 05:29:43.616070
73,Breaking: new study claims coffee cures colds,1,2025-08-15 05:30:43.616070
74,Rumor circulating about celebrity incident,1,2025-08-15 05:31:43.616070
75,Satire piece about tech CEO,0,2025-08-15 05:32:43.616070
76,Official update: vaccination schedule released,1,2025-08-15 05:33:43.616070
77,Official update: vaccination schedule released,0,2025-08-15 05:34:43.616070
78,Satire piece about tech CEO,1,2025-08-15 05:35:43.616070
79,Rumor circulating about celebrity incident,0,2025-08-15 05:36:43.616070
80,Analysis: election turnout data,0,2025-08-15 05:37:43.616070
81,Satire piece about tech CEO,0,2025-08-15 05:38:43.616070
82,Breaking: new study claims coffee cures colds,0,2025-08-15 05:39:43.616070
83,Analysis: election turnout data,0,2025-08-15 05:40:43.616070
84,Rumor circulating about celebrity incident,1,2025-08-15 05:41:43.616070
85,Rumor circulating about celebrity incident,1,2025-08-15 05:42:43.616070
86,Breaking: new study claims coffee cures colds,0,2025-08-15 05:43:43.616070
87,Official update: vaccination schedule released,0,2025-08-15 05:44:43.616070
88,Rumor circulating about celebrity incident,0,2025-08-15 05:45:43.616070
89,Analysis: election turnout data,0,2025-08-15 05:46:43.616070
90,Satire piece about tech CEO,1,2025-08-15 05:47:43.616070
91,Analysis: election turnout data,0,2025-08-15 05:48:43.616070
92,Analysis: election turnout data,0,2025-08-15 05:49:43.616070
93,Official update: vaccination schedule released,0,2025-08-15 05:50:43.616070
94,Analysis: election turnout data,0,2025-08-15 05:51:43.616070
95,Official update: vaccination schedule released,0,2025-08-15 05:52:43.616070
96,Official update: vaccination schedule released,1,2025-08-15 05:53:43.616070
97,Rumor circulating about celebrity incident,1,2025-08-15 05:54:43.616070
98,Rumor circulating about celebrity incident,1,2025-08-15 05:55:43.616070
99,Breaking: new study claims coffee cures colds,1,2025-08-15 05:56:43.616070
100,Analysis: election turnout data,0,2025-08-15 05:57:43.616070
101,Breaking: new study claims coffee cures colds,1,2025-08-15 05:58:43.616070
102,Analysis: election turnout data,1,2025-08-15 05:59:43.616070
103,Breaking: new study claims coffee cures colds,1,2025-08-15 06:00:43.616070
104,Rumor circulating about celebrity incident,1,2025-08-15 06:01:43.616070
105,Rumor circulating about celebrity incident,1,2025-08-15 06:02:43.616070
106,Rumor circulating about celebrity incident,1,2025-08-15 06:03:43.616070
107,Rumor circulating about celebrity incident,0,2025-08-15 06:04:43.616070
108,Satire piece about tech CEO,1,2025-08-15 06:05:43.616070
109,Rumor circulating about celebrity incident,0,2025-08-15 06:06:43.616070
110,Official update: vaccination schedule released,0,2025-08-15 06:07:43.616070
111,Rumor circulating about celebrity incident,1,2025-08-15 06:08:43.616070
112,Satire piece about tech CEO,1,2025-08-15 06:09:43.616070
113,Satire piece about tech CEO,1,2025-08-15 06:10:43.616070
114,Satire piece about tech CEO,0,2025-08-15 06:11:43.616070
115,Satire piece about tech CEO,1,2025-08-15 06:12:43.616070
116,Breaking: new study claims coffee cures colds,1,2025-08-15 06:13:43.616070
117,Breaking: new study claims coffee cures colds,0,2025-08-15 06:14:43.616070
118,Official update: vaccination schedule released,0,2025-08-15 06:15:43.616070
119,Breaking: new study claims coffee cures colds,0,2025-08-15 06:16:43.616070
120,Satire piece about tech CEO,1,2025-08-15 06:17:43.616070
121,Rumor circulating about celebrity incident,0,2025-08-15 06:18:43.616070
122,Rumor circulating about celebrity incident,1,2025-08-15 06:19:43.616070
123,Satire piece about tech CEO,0,2025-08-15 06:20:43.616070
124,Analysis: election turnout data,1,2025-08-15 06:21:43.616070
125,Satire piece about tech CEO,0,2025-08-15 06:22:43.616070
126,Breaking: new study claims coffee cures colds,1,2025-08-15 06:23:43.616070
127,Rumor circulating about celebrity incident,0,2025-08-15 06:24:43.616070
128,Satire piece about tech CEO,0,2025-08-15 06:25:43.616070
129,Rumor circulating about celebrity incident,1,2025-08-15 06:26:43.616070
130,Satire piece about tech CEO,1,2025-08-15 06:27:43.616070
131,Satire piece about tech CEO,1,2025-08-15 06:28:43.616070
132,Breaking: new study claims coffee cures colds,0,2025-08-15 06:29:43.616070
133,Satire piece about tech CEO,0,2025-08-15 06:30:43.616070
134,Rumor circulating about celebrity incident,0,2025-08-15 06:31:43.616070
135,Official update: vaccination schedule released,0,2025-08-15 06:32:43.616070
136,Rumor circulating about celebrity incident,1,2025-08-15 06:33:43.616070
137,Breaking: new study claims coffee cures colds,1,2025-08-15 06:34:43.616070
138,Official update: vaccination schedule released,1,2025-08-15 06:35:43.616070
139,Satire piece about tech CEO,1,2025-08-15 06:36:43.616070
140,Analysis: election turnout data,1,2025-08-15 06:37:43.616070
141,Official update: vaccination schedule released,1,2025-08-15 06:38:43.616070
142,Official update: vaccination schedule released,0,2025-08-15 06:39:43.616070
143,Satire piece about tech CEO,0,2025-08-15 06:40:43.616070
144,Analysis: election turnout data,1,2025-08-15 06:41:43.616070
145,Analysis: election turnout data,1,2025-08-15 06:42:43.616070
146,Breaking: new study claims coffee cures colds,0,2025-08-15 06:43:43.616070
147,Official update: vaccination schedule released,0,2025-08-15 06:44:43.616070
148,Analysis: election turnout data,1,2025-08-15 06:45:43.616070
149,Breaking: new study claims coffee cures colds,0,2025-08-15 06:46:43.616070
150,Analysis: election turnout data,0,2025-08-15 06:47:43.616070
151,Official update: vaccination schedule released,1,2025-08-15 06:48:43.616070
152,Analysis: election turnout data,1,2025-08-15 06:49:43.616070
153,Official update: vaccination schedule released,0,2025-08-15 06:50:43.616070
154,Satire piece about tech CEO,1,2025-08-15 06:51:43.616070
155,Rumor circulating about celebrity incident,0,2025-08-15 06:52:43.616070
156,Breaking: new study claims coffee cures colds,1,2025-08-15 06:53:43.616070
157,Satire piece about tech CEO,0,2025-08-15 06:54:43.616070
158,Satire piece about tech CEO,0,2025-08-15 06:55:43.616070
159,Rumor circulating about celebrity incident,0,2025-08-15 06:56:43.616070
160,Analysis: election turnout data,0,2025-08-15 06:57:43.616070
161,Rumor circulating about celebrity incident,1,2025-08-15 06:58:43.616070
162,Satire piece about tech CEO,0,2025-08-15 06:59:43.616070
163,Satire piece about tech CEO,0,2025-08-15 07:00:43.616070
164,Satire piece about tech CEO,0,2025-08-15 07:01:43.616070
165,Analysis: election turnout data,1,2025-08-15 07:02:43.616070
166,Official update: vaccination schedule released,1,2025-08-15 07:03:43.616070
167,Breaking: new study claims coffee cures colds,1,2025-08-15 07:04:43.616070
168,Official update: vaccination schedule released,0,2025-08-15 07:05:43.616070
169,Breaking: new study claims coffee cures colds,0,2025-08-15 07:06:43.616070
170,Breaking: new study claims coffee cures colds,0,2025-08-15 07:07:43.616070
171,Breaking: new study claims coffee cures colds,0,2025-08-15 07:08:43.616070
172,Rumor circulating about celebrity incident,1,2025-08-15 07:09:43.616070
173,Rumor circulating about celebrity incident,1,2025-08-15 07:10:43.616070
174,Rumor circulating about celebrity incident,0,2025-08-15 07:11:43.616070
175,Satire piece about tech CEO,0,2025-08-15 07:12:43.616070
176,Rumor circulating about celebrity incident,1,2025-08-15 07:13:43.616070
177,Breaking: new study claims coffee cures colds,0,2025-08-15 07:14:43.616070
178,Analysis: election turnout data,0,2025-08-15 07:15:43.616070
179,Satire piece about tech CEO,0,2025-08-15 07:16:43.616070
180,Analysis: election turnout data,0,2025-08-15 07:17:43.616070
181,Breaking: new study claims coffee cures colds,0,2025-08-15 07:18:43.616070
182,Satire piece about tech CEO,0,2025-08-15 07:19:43.616070
183,Rumor circulating about celebrity incident,0,2025-08-15 07:20:43.616070
184,Satire piece about tech CEO,1,2025-08-15 07:21:43.616070
185,Satire piece about tech CEO,0,2025-08-15 07:22:43.616070
186,Breaking: new study claims coffee cures colds,0,2025-08-15 07:23:43.616070
187,Official update: vaccination schedule released,1,2025-08-15 07:24:43.616070
188,Official update: vaccination schedule released,1,2025-08-15 07:25:43.616070
189,Official update: vaccination schedule released,0,2025-08-15 07:26:43.616070
190,Rumor circulating about celebrity incident,0,2025-08-15 07:27:43.616070
191,Rumor circulating about celebrity incident,1,2025-08-15 07:28:43.616070
192,Rumor circulating about celebrity incident,0,2025-08-15 07:29:43.616070
193,Official update: vaccination schedule released,0,2025-08-15 07:30:43.616070
194,Analysis: election turnout data,1,2025-08-15 07:31:43.616070
195,Breaking: new study claims coffee cures colds,0,2025-08-15 07:32:43.616070
196,Official update: vaccination schedule released,1,2025-08-15 07:33:43.616070
197,Breaking: new study claims coffee cures colds,0,2025-08-15 07:34:43.616070
198,Official update: vaccination schedule released,1,2025-08-15 07:35:43.616070
199,Analysis: election turnout data,0,2025-08-15 07:36:43.616070
200,Official update: vaccination schedule released,0,2025-08-15 07:37:43.616070
201,Analysis: election turnout data,0,2025-08-15 07:38:43.616070
202,Satire piece about tech CEO,0,2025-08-15 07:39:43.616070
203,Rumor circulating about celebrity incident,1,2025-08-15 07:40:43.616070
204,Satire piece about tech CEO,0,2025-08-15 07:41:43.616070
205,Official update: vaccination schedule released,0,2025-08-15 07:42:43.616070
206,Rumor circulating about celebrity incident,1,2025-08-15 07:43:43.616070
207,Analysis: election turnout data,1,2025-08-15 07:44:43.616070
208,Official update: vaccination schedule released,0,2025-08-15 07:45:43.616070
209,Rumor circulating about celebrity incident,0,2025-08-15 07:46:43.616070
210,Official update: vaccination schedule released,1,2025-08-15 07:47:43.616070
211,Rumor circulating about celebrity incident,1,2025-08-15 07:48:43.616070
212,Rumor circulating about celebrity incident,1,2025-08-15 07:49:43.616070
213,Satire piece about tech CEO,1,2025-08-15 07:50:43.616070
214,Rumor circulating about celebrity incident,1,2025-08-15 07:51:43.616070
215,Official update: vaccination schedule released,0,2025-08-15 07:52:43.616070
216,Breaking: new study claims coffee cures colds,0,2025-08-15 07:53:43.616070
217,Breaking: new study claims coffee cures colds,0,2025-08-15 07:54:43.616070
218,Satire piece about tech CEO,1,2025-08-15 07:55:43.616070
219,Analysis: election turnout data,1,2025-08-15 07:56:43.616070
220,Breaking: new study claims coffee cures colds,0,2025-08-15 07:57:43.616070
221,Satire piece about tech CEO,0,2025-08-15 07:58:43.616070
222,Rumor circulating about celebrity incident,0,2025-08-15 07:59:43.616070
223,Official update: vaccination schedule released,1,2025-08-15 08:00:43.616070
224,Rumor circulating about celebrity incident,0,2025-08-15 08:01:43.616070
225,Official update: vaccination schedule released,0,2025-08-15 08:02:43.616070
226,Analysis: election turnout data,0,2025-08-15 08:03:43.616070
227,Satire piece about tech CEO,0,2025-08-15 08:04:43.616070
228,Satire piece about tech CEO,0,2025-08-15 08:05:43.616070
229,Breaking: new study claims coffee cures colds,0,2025-08-15 08:06:43.616070
230,Satire piece about tech CEO,0,2025-08-15 08:07:43.616070
231,Analysis: election turnout data,0,2025-08-15 08:08:43.616070
232,Breaking: new study claims coffee cures colds,0,2025-08-15 08:09:43.616070
233,Rumor circulating about celebrity incident,0,2025-08-15 08:10:43.616070
234,Satire piece about tech CEO,0,2025-08-15 08:11:43.616070
235,Rumor circulating about celebrity incident,1,2025-08-15 08:12:43.616070
236,Rumor circulating about celebrity incident,0,2025-08-15 08:13:43.616070
237,Satire piece about tech CEO,0,2025-08-15 08:14:43.616070
238,Official update: vaccination schedule released,0,2025-08-15 08:15:43.616070
239,Rumor circulating about celebrity incident,0,2025-08-15 08:16:43.616070
240,Breaking: new study claims coffee cures colds,0,2025-08-15 08:17:43.616070
241,Satire piece about tech CEO,0,2025-08-15 08:18:43.616070
242,Breaking: new study claims coffee cures colds,1,2025-08-15 08:19:43.616070
243,Rumor circulating about celebrity incident,0,2025-08-15 08:20:43.616070
244,Rumor circulating about celebrity incident,0,2025-08-15 08:21:43.616070
245,Breaking: new study claims coffee cures colds,0,2025-08-15 08:22:43.616070
246,Rumor circulating about celebrity incident,0,2025-08-15 08:23:43.616070
247,Satire piece about tech CEO,0,2025-08-15 08:24:43.616070
248,Rumor circulating about celebrity incident,1,2025-08-15 08:25:43.616070
249,Breaking: new study claims coffee cures colds,1,2025-08-15 08:26:43.616070
250,Breaking: new study claims coffee cures colds,0,2025-08-15 08:27:43.616070
